,theta
type,0.5239977701530717
brand,-0.3504217881701882
model,-0.19200542794581074
org,-1.1044810249642578
loc,-0.2041041978510644
cla,-0.9181853690743099
home,1.3588336500036617
frm,-0.7781759233029826
cy,-0.13317813035125703
hp,-0.49177006295133224
we,-7.06600189620117
pl,-0.09835556210709055
do,-0.4761547434534658
le,0.7346635282622549
wi,3.4478514081735776
he,-0.3340443374351475
li,-0.2284711187255264
sp,-0.4741972101325108
ac,0.003007824544535769
pr,-0.10597706949696763
groupbrand,0.05555555555555555
grouporg,0.05555555555555555
grouploc,0.05555555555555555
groupcla,0.05555555555555555
grouphome,0.05555555555555555
groupfrm,0.05555555555555555
groupcy,0.05555555555555555
grouphp,0.05555555555555555
groupwe,0.05555555555555555
grouppl,0.05555555555555555
groupdo,0.05555555555555555
grouple,0.05555555555555555
groupwi,0.05555555555555555
grouphe,0.05555555555555555
groupli,0.05555555555555555
groupsp,0.05555555555555555
groupac,0.05555555555555555
